RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
41.57027409069,61.17340904302,464949661706849280,0.83,0.0378,2.577,-1.596,2.023,31,1.44,,1.041,16.192581,16.815716,15.430469,1.385247,,42.57299631139,41.57028880564,61.17340005192,0.858649,1
41.65449991652,61.22374564437,464950211462625792,0.9554,0.0447,2.603,-1.741,1.936,31,1.433,,0.919,16.519371,17.16683,15.747625,1.419205,,42.60265223848,41.65451598608,61.22373703977,0.984442,1
42.13862493076,61.39410904137,464956361855632896,0.8718,0.0169,2.7,-1.764,2.044,31,1.61,,1.209,11.991033,12.20776,11.621119,0.586641,-67.03,42.66507019221,42.13864130158,61.39409995682,0.911275,1
41.20981261916,61.00643386135,465597755092954240,0.8735,0.0226,2.731,-1.759,2.089,31,1.467,,1.04,14.797569,15.339229,14.089526,1.249702,,42.49089585173,41.209828748,61.00642457675,0.90689,1
40.92160208527,61.09459796824,465602702895244672,0.8258,0.087,2.829,-1.878,2.115,95,,1.3769,1.031,17.198761,,,,,42.62822224047,40.92161935361,61.094588568,0.86236,1
40.92241433088,61.09423874202,465602702895244800,0.9349,0.0354,2.764,-1.855,2.05,31,1.455,,1.014,15.765883,16.284992,14.968859,1.316134,,42.62773397112,40.92243138459,61.09422963205,0.967899,1
41.04880119972,61.21089661524,465609536182815360,0.8934,0.1147,2.763,-1.796,2.1,31,1.353,,1.031,17.792515,18.752975,16.841764,1.911211,,42.70931884745,41.04881777056,61.21088728235,0.923362,1
41.11002871699,61.25860501192,465610085938776192,0.8548,0.0802,2.767,-1.659,2.214,31,1.386,,1.023,17.37448,18.181145,16.491581,1.689564,,42.74084612802,41.11004404678,61.25859517057,0.886151,1
41.12493444013,61.25592266819,465610090242033408,0.8292,0.1354,2.483,-1.68,1.829,95,,1.2974,1.024,18.362757,19.231236,17.476292,1.754944,,42.73547264541,41.12494996834,61.2559145415,0.8651810000000001,1
41.25893550577,61.23554506139,465610399476734080,0.9108,0.0707,2.574,-1.619,2.001,31,1.404,,0.997,17.193727,17.938925,16.361628,1.577297,,42.69060193125,41.25895045973,61.23553616843,0.941237,1
41.27813494539,61.2420795324,465610433836225024,0.9273,0.0425,2.704,-1.755,2.057,31,1.44,,1.0,16.3537,16.972952,15.594036,1.378916,,42.69281365324,41.27815116126,61.24207039059,0.956058,1
41.23669879581,61.27621680689,465610704414118144,0.894,0.0649,2.523,-1.561,1.982,31,1.377,,1.029,17.113922,17.967196,16.190907,1.776289,,42.73210475388,41.23671323529,61.27620799922,0.925571,1
41.22303499647,61.32441526648,465611945664660736,0.9435,0.0454,2.769,-1.835,2.074,31,1.438,,1.019,16.49066,17.11392,15.725948,1.387972,,42.77879478146,41.22305199216,61.32440605004,0.972394,1
41.17923564415,61.34283389571,465612216243422976,0.9075,0.1879,2.649,-1.592,2.117,31,1.324,,0.997,18.910963,20.020525,17.880968,2.139557,,42.80418111414,41.17925039425,61.34282448678,0.924448,1
40.63491564725,61.26634733304,465619470447676672,0.8636,0.0122,2.225,-1.51,1.635,31,1.564,,1.024,13.094525,13.394835,12.621419,0.773416,,42.84153885648,40.63492960324,61.26634006773,0.897104,1
40.58209999568,61.30046311835,465620501239598464,0.9339,0.0764,2.465,-1.724,1.762,31,1.387,,0.944,17.292261,18.116209,16.410831,1.705378,,42.88307968614,40.58211595094,61.30045528515,0.965124,1
40.65700285679,61.36876394169,465621149774787840,0.9705,0.136,2.652,-1.619,2.1,31,1.338,,1.006,18.314913,19.330532,17.374065,1.956467,,42.93049656939,40.65701787391,61.36875460701,0.994848,1
40.82925456779,61.27158182618,465622558523828096,0.9092,0.0229,2.522,-1.697,1.865,31,1.462,,1.051,14.886359,15.440454,14.167191,1.273263,,42.80791837839,40.82927026071,61.27157353774,0.942492,1
40.84226715767,61.2759239346,465622562823892224,0.8926,0.0391,2.513,-1.847,1.704,31,1.422,,0.955,16.152637,16.833155,15.345932,1.487223,,42.80931268757,40.84228423905,61.2759163599,0.921554,1
40.89106569564,61.30798746887,465622734622550784,0.8879,0.0354,2.53,-1.591,1.967,31,1.437,,0.925,15.99774,16.63229,15.221448,1.410842,,42.82894294869,40.89108042608,61.30797872712,0.91883,1
40.93923279234,61.35397787458,465623250018590080,0.8792,0.013,2.716,-1.721,2.102,31,1.582,,1.019,13.026036,13.295957,12.595498,0.700458,,42.86141683649,40.93924874717,61.35396853401,0.909319,1
