RAJ2000,DEJ2000,pmRA,pmDE,Gmag,BP-RP,Plx,cluster
226.54087600359,-56.31725140085,-7.561,-3.855,20.414282,2.432413,1.2212,2
226.46154924491,-56.34014058756,-8.144,-5.034,19.798546,2.668852,1.1586,2
226.39813696458,-56.33567234592,-6.523,-7.522,18.66801,2.334206,1.2869,2
226.44451798237,-56.30290603031,-6.309,-5.284,18.936375,2.499495,1.1082,2
226.49991172633,-56.28553111561,-6.309,-4.976,20.484121,2.000231,1.1275,2
226.48606558083,-56.25962513676,-6.493,-4.649,20.303038,2.723246,1.3248,2
226.94900401326,-56.29888923679,-7.299,-4.039,20.301525,2.331259,1.2709,2
227.29157028226,-56.20326714769,-6.955,-4.249,19.986824,2.799555,1.2268,2
227.1711045679,-56.25453559493,-6.446,-4.474,20.55247,2.895273,1.3605,2
227.03952843335,-56.28318212911,-6.993,-3.877,20.437778,2.411415,1.3027,2
227.0306292735,-56.28010595283,-7.254,-5.762,20.556435,2.56723,1.1477,2
227.10521912878,-56.20297657297,-6.066,-5.452,19.230587,2.324999,1.1449,2
227.08895411779,-56.19832355953,-8.456,-4.791,20.02922,2.550669,1.1926,2
227.07589318529,-56.18161179873,-6.862,-6.368,20.615982,1.956793,1.1623,2
227.20947351193,-56.22880912301,-8.488,-5.746,20.187069,2.29372,1.3403,2
227.29955542593,-56.18683904851,-7.849,-5.023,19.77689,2.591814,1.3388,2
227.29394581406,-56.1442491645,-9.288,-5.094,17.841288,1.936804,1.1429,2
227.2717170689,-56.13988671365,-6.361,-4.575,17.225601,2.091591,1.1014,2
227.1002771443,-56.16120437063,-5.998,-5.396,20.84326,1.780483,1.2499,2
227.25801766712,-56.10515996989,-8.281,-5.178,20.700697,2.479899,1.3975,2
226.63261494666,-56.33594610775,-6.801,-4.76,20.492693,2.195385,1.1522,2
226.70233601289,-56.30596923639,-8.274,-3.758,20.075745,2.68136,1.1562,2
226.73012930684,-56.25609926011,-5.751,-3.903,20.212187,2.904282,1.3112,2
226.80806399842,-56.30160582696,-6.725,-6.138,19.56126,2.243107,1.1522,2
226.92594162184,-56.26530965442,-8.761,-5.362,20.216368,2.35906,1.1193,2
226.77460913663,-56.24415706866,-6.153,-3.647,20.438116,2.869354,1.1454,2
226.84745937818,-56.23841438398,-5.614,-6.389,18.839724,2.562845,1.2097,2
226.90843788403,-56.20639620747,-8.492,-4.179,20.498253,2.90311,1.2252,2
226.82943139676,-56.18217190966,-9.364,-5.932,19.194773,2.784447,1.2184,2
226.83975129716,-56.1922373513,-5.586,-3.788,20.249487,2.433743,1.248,2
226.85000798379,-56.16048236776,-5.684,-3.832,20.018908,2.792582,1.1869,2
226.62265585826,-56.32020331575,-5.986,-4.197,20.242226,2.945417,1.1531,2
226.6112035022,-56.32423862286,-5.937,-5.274,19.51814,2.29768,1.1041,2
226.60224683752,-56.31921568513,-6.472,-4.464,20.509409,2.098986,1.1909,2
226.65288757042,-56.3059211946,-5.494,-3.554,19.28139,2.331421,1.2339,2
226.52793989937,-56.28355969397,-7.279,-5.266,20.244371,2.651356,1.1072,2
226.57017126987,-56.20257172388,-7.636,-4.062,20.458576,2.594128,1.1895,2
226.73433425417,-56.23908985482,-6.147,-5.371,20.550024,2.440298,1.2307,2
226.72747390549,-56.20902799087,-6.655,-3.554,19.197248,2.300278,1.1064,2
226.71976691081,-56.22182026349,-5.889,-4.384,20.100563,2.385111,1.1899,2
226.75843150541,-56.20235591966,-7.13,-5.78,19.093145,2.148521,1.0859,2
226.73610356341,-56.18201699847,-6.153,-4.671,20.46979,2.276731,1.2591,2
226.72524021311,-56.16740162223,-6.942,-6.084,20.01625,2.530992,1.1923,2
226.76157169445,-56.17487038806,-6.595,-5.589,20.772263,2.256266,1.3343,2
226.79222803455,-56.14666780375,-5.84,-6.675,19.714632,2.672581,1.3515,2
226.7688779328,-56.13771708869,-7.277,-4.782,20.452667,1.908092,1.2668,2
226.69627059432,-56.15306244207,-6.136,-4.922,20.272295,2.314894,1.2176,2
226.68355172276,-56.15032388361,-6.051,-6.846,20.748047,2.148775,1.1839,2
226.64365785574,-56.17191548965,-6.821,-5.0,20.354393,2.078979,1.2223,2
226.7052447706,-56.10590033388,-5.86,-4.128,20.048084,2.494661,1.2111,2
226.71129387083,-56.10028576531,-7.39,-5.178,20.43393,2.501278,1.2579,2
226.71916749554,-56.09421277493,-7.63,-7.146,20.15055,2.565138,1.2646,2
226.98660097853,-56.24619917791,-6.903,-6.103,19.1475,2.119118,1.2794,2
226.96272073679,-56.1998939086,-8.436,-4.9,19.328432,2.605694,1.3156,2
226.88267640551,-56.1686048305,-7.986,-4.949,19.606848,2.784819,1.3174,2
227.10272405425,-56.08630961167,-8.917,-4.681,20.809967,2.020554,1.1821,2
227.15231933486,-56.0653864936,-9.161,-5.781,20.657095,2.344562,1.2229,2
227.11849780951,-56.04817134501,-5.577,-4.704,20.372894,2.439766,1.2751,2
227.04636423473,-56.08262349306,-7.13,-6.672,20.610334,2.140339,1.2612,2
227.01377097768,-56.0721816683,-7.381,-5.156,20.462303,2.32123,1.0911,2
227.02589957161,-56.05754884911,-6.171,-5.046,20.06391,3.286835,1.1639,2
226.86158010942,-56.11419125884,-7.129,-5.594,20.59759,1.661762,1.1899,2
226.79297491091,-56.09651776399,-8.22,-4.17,20.553207,3.006575,1.2761,2
226.82066307459,-56.05265161613,-8.516,-5.73,20.314259,2.188322,1.1671,2
226.75442178821,-56.06753692179,-6.537,-6.021,17.678425,2.02799,1.2575,2
226.77281714972,-56.04592114536,-6.953,-5.54,20.4451,1.811531,1.1437,2
226.88227113625,-56.00691408317,-5.563,-5.401,19.70256,2.120478,1.2175,2
226.83140676022,-55.99076095519,-6.597,-4.065,18.61891,2.301346,1.1142,2
226.99925687691,-55.99865759574,-7.638,-5.244,20.197996,1.919321,1.2022,2
226.97232224961,-55.9900094665,-8.069,-6.742,20.294247,2.425144,1.2793,2
226.95851981481,-55.96784509545,-6.263,-4.081,20.461086,2.539421,1.3227,2
226.8844128549,-55.97629448699,-5.695,-3.991,19.819532,2.806103,1.1987,2
225.4457381403,-56.334571297,-7.629,-4.397,20.175398,2.192507,1.1549,2
225.51039651474,-56.32105958306,-6.568,-6.433,20.345642,2.00642,1.2755,2
225.53677966895,-56.29899557619,-7.897,-5.16,18.907211,2.102419,1.129,2
225.48457675325,-56.27235455615,-6.297,-6.313,20.592628,1.75745,1.3411,2
225.23910879461,-56.31021702486,-5.915,-7.456,20.131935,2.426334,1.2216,2
225.27512329998,-56.30518011036,-7.158,-7.388,20.73679,2.288149,1.1296,2
225.19669546709,-56.30508101975,-7.116,-3.929,20.336903,2.674377,1.1843,2
225.38435964488,-56.31588995113,-5.711,-4.581,19.777046,2.444569,1.3112,2
225.39837382811,-56.32364076718,-7.795,-5.878,20.22149,2.533697,1.1974,2
225.38652571577,-56.27461191302,-5.867,-4.552,19.902962,2.629435,1.1713,2
225.42936084083,-56.29720240191,-8.587,-4.595,20.193953,2.264837,1.3279,2
225.47338632855,-56.26128069436,-5.809,-5.648,20.277779,2.315777,1.2791,2
225.28508347771,-56.27171550342,-6.623,-6.821,20.779804,1.616812,1.0925,2
225.33381432783,-56.23502371958,-7.679,-3.991,20.283745,3.06082,1.2011,2
225.31251948517,-56.22962341404,-6.394,-5.947,20.34191,2.172409,1.2317,2
225.39151309772,-56.1986834003,-6.114,-6.417,20.372639,1.911289,1.2318,2
225.38742016258,-56.19421977328,-6.644,-3.585,20.261475,2.556385,1.2566,2
225.13313227045,-56.28818112572,-8.456,-6.059,20.22938,2.18791,1.0644,2
225.12730581189,-56.26052757194,-7.919,-5.347,20.070244,2.739731,1.3472,2
225.12359871771,-56.2601018525,-7.55,-5.809,20.550167,1.616827,1.301,2
225.18449493877,-56.27736559285,-6.362,-5.389,20.198172,1.922161,1.131,2
225.10181940804,-56.23986958448,-7.151,-4.316,20.290249,2.533104,1.194,2
225.02217315392,-56.26108393519,-8.235,-5.321,20.73463,1.693195,1.3266,2
225.13898267808,-56.22003478943,-6.126,-4.719,20.571165,2.234459,1.3011,2
225.1802237403,-56.20492362863,-5.622,-7.488,20.585789,2.455065,1.1572,2
225.15269839461,-56.19983951838,-8.177,-4.642,20.30276,2.342693,1.2277,2
225.26064016245,-56.24425638004,-7.294,-4.67,19.790358,2.61949,1.1648,2
