RAJ2000,DEJ2000,pmRA,pmDE,Gmag,BP-RP,Plx,cluster
226.54087600359,-56.31725140085,-7.561,-3.855,20.414282,2.432413,1.2212,0
226.46154924491,-56.34014058756,-8.144,-5.034,19.798546,2.668852,1.1586,4
226.39813696458,-56.33567234592,-6.523,-7.522,18.66801,2.334206,1.2869,4
226.44451798237,-56.30290603031,-6.309,-5.284,18.936375,2.499495,1.1082,4
226.49991172633,-56.28553111561,-6.309,-4.976,20.484121,2.000231,1.1275,4
226.48606558083,-56.25962513676,-6.493,-4.649,20.303038,2.723246,1.3248,4
226.94900401326,-56.29888923679,-7.299,-4.039,20.301525,2.331259,1.2709,0
227.29157028226,-56.20326714769,-6.955,-4.249,19.986824,2.799555,1.2268,4
227.33653683046,-56.17074463015,-6.473,-6.232,13.967035,0.905355,1.2236,1
227.1711045679,-56.25453559493,-6.446,-4.474,20.55247,2.895273,1.3605,3
227.03952843335,-56.28318212911,-6.993,-3.877,20.437778,2.411415,1.3027,0
227.02663848207,-56.28507714772,-5.497,-3.577,18.85858,2.112083,1.2189,3
227.0306292735,-56.28010595283,-7.254,-5.762,20.556435,2.56723,1.1477,4
227.10521912878,-56.20297657297,-6.066,-5.452,19.230587,2.324999,1.1449,4
227.08895411779,-56.19832355953,-8.456,-4.791,20.02922,2.550669,1.1926,4
227.07589318529,-56.18161179873,-6.862,-6.368,20.615982,1.956793,1.1623,4
227.20947351193,-56.22880912301,-8.488,-5.746,20.187069,2.29372,1.3403,4
227.29955542593,-56.18683904851,-7.849,-5.023,19.77689,2.591814,1.3388,4
227.29394581406,-56.1442491645,-9.288,-5.094,17.841288,1.936804,1.1429,4
227.2717170689,-56.13988671365,-6.361,-4.575,17.225601,2.091591,1.1014,3
227.1002771443,-56.16120437063,-5.998,-5.396,20.84326,1.780483,1.2499,3
227.14913458261,-56.11952448901,-8.831,-5.332,20.694818,1.633688,1.148,4
227.25801766712,-56.10515996989,-8.281,-5.178,20.700697,2.479899,1.3975,4
226.63261494666,-56.33594610775,-6.801,-4.76,20.492693,2.195385,1.1522,4
226.75395627376,-56.32139411356,-7.472,-4.291,20.330713,2.115261,1.1565,0
226.70233601289,-56.30596923639,-8.274,-3.758,20.075745,2.68136,1.1562,4
226.73012930684,-56.25609926011,-5.751,-3.903,20.212187,2.904282,1.3112,3
226.80806399842,-56.30160582696,-6.725,-6.138,19.56126,2.243107,1.1522,4
226.92594162184,-56.26530965442,-8.761,-5.362,20.216368,2.35906,1.1193,4
226.77460913663,-56.24415706866,-6.153,-3.647,20.438116,2.869354,1.1454,3
226.84745937818,-56.23841438398,-5.614,-6.389,18.839724,2.562845,1.2097,4
226.8599519042,-56.22304174506,-9.122,-3.641,13.939487,0.852195,1.2154,1
226.90843788403,-56.20639620747,-8.492,-4.179,20.498253,2.90311,1.2252,4
226.82943139676,-56.18217190966,-9.364,-5.932,19.194773,2.784447,1.2184,4
226.83975129716,-56.1922373513,-5.586,-3.788,20.249487,2.433743,1.248,3
226.85000798379,-56.16048236776,-5.684,-3.832,20.018908,2.792582,1.1869,3
226.61780463297,-56.33509044883,-5.482,-3.693,20.302443,2.253288,1.1958,3
226.62265585826,-56.32020331575,-5.986,-4.197,20.242226,2.945417,1.1531,3
226.6112035022,-56.32423862286,-5.937,-5.274,19.51814,2.29768,1.1041,3
226.60224683752,-56.31921568513,-6.472,-4.464,20.509409,2.098986,1.1909,4
226.65288757042,-56.3059211946,-5.494,-3.554,19.28139,2.331421,1.2339,3
226.56407445066,-56.31200806819,-6.723,-3.809,20.737127,1.845589,1.3673,0
226.52793989937,-56.28355969397,-7.279,-5.266,20.244371,2.651356,1.1072,4
226.57017126987,-56.20257172388,-7.636,-4.062,20.458576,2.594128,1.1895,4
226.73433425417,-56.23908985482,-6.147,-5.371,20.550024,2.440298,1.2307,4
226.72747390549,-56.20902799087,-6.655,-3.554,19.197248,2.300278,1.1064,0
226.71976691081,-56.22182026349,-5.889,-4.384,20.100563,2.385111,1.1899,3
226.75843150541,-56.20235591966,-7.13,-5.78,19.093145,2.148521,1.0859,4
226.73610356341,-56.18201699847,-6.153,-4.671,20.46979,2.276731,1.2591,3
226.72524021311,-56.16740162223,-6.942,-6.084,20.01625,2.530992,1.1923,4
226.76157169445,-56.17487038806,-6.595,-5.589,20.772263,2.256266,1.3343,4
226.79222803455,-56.14666780375,-5.84,-6.675,19.714632,2.672581,1.3515,4
226.7688779328,-56.13771708869,-7.277,-4.782,20.452667,1.908092,1.2668,4
226.69627059432,-56.15306244207,-6.136,-4.922,20.272295,2.314894,1.2176,3
226.68355172276,-56.15032388361,-6.051,-6.846,20.748047,2.148775,1.1839,4
226.64365785574,-56.17191548965,-6.821,-5.0,20.354393,2.078979,1.2223,4
226.7052447706,-56.10590033388,-5.86,-4.128,20.048084,2.494661,1.2111,3
226.71129387083,-56.10028576531,-7.39,-5.178,20.43393,2.501278,1.2579,4
226.71916749554,-56.09421277493,-7.63,-7.146,20.15055,2.565138,1.2646,4
226.98660097853,-56.24619917791,-6.903,-6.103,19.1475,2.119118,1.2794,4
226.96272073679,-56.1998939086,-8.436,-4.9,19.328432,2.605694,1.3156,4
226.88267640551,-56.1686048305,-7.986,-4.949,19.606848,2.784819,1.3174,4
226.90209580755,-56.15260523911,-5.875,-4.625,20.81301,1.399567,1.3204,3
227.08584498111,-56.12253439204,-5.672,-4.348,18.037077,2.032316,1.1732,3
227.13644917585,-56.11664789163,-8.346,-7.39,12.018602,0.760868,1.1876,1
227.05341133997,-56.11924784556,-7.062,-3.676,18.681665,2.247124,1.0829,0
227.10272405425,-56.08630961167,-8.917,-4.681,20.809967,2.020554,1.1821,4
227.08166480751,-56.08301741786,-8.675,-4.19,20.555094,2.027538,1.2268,0
227.15231933486,-56.0653864936,-9.161,-5.781,20.657095,2.344562,1.2229,4
227.11849780951,-56.04817134501,-5.577,-4.704,20.372894,2.439766,1.2751,3
227.04636423473,-56.08262349306,-7.13,-6.672,20.610334,2.140339,1.2612,4
227.01377097768,-56.0721816683,-7.381,-5.156,20.462303,2.32123,1.0911,4
227.02589957161,-56.05754884911,-6.171,-5.046,20.06391,3.286835,1.1639,3
226.87221795435,-56.1352655282,-6.926,-4.326,20.5441,2.012665,1.0949,0
226.86158010942,-56.11419125884,-7.129,-5.594,20.59759,1.661762,1.1899,4
226.83314675162,-56.10688819636,-5.854,-3.733,20.428154,2.041243,1.148,3
226.81143138362,-56.09896683297,-5.655,-3.798,20.410208,1.974636,1.1645,3
226.91735668612,-56.09865366874,-5.463,-3.542,19.786163,1.514404,1.3508,3
226.90333323038,-56.09191089964,-6.588,-3.741,20.63075,1.882189,1.2975,0
226.92139905135,-56.0745406317,-8.192,-3.609,19.12139,1.864691,1.199,0
226.79297491091,-56.09651776399,-8.22,-4.17,20.553207,3.006575,1.2761,4
226.82066307459,-56.05265161613,-8.516,-5.73,20.314259,2.188322,1.1671,4
226.75442178821,-56.06753692179,-6.537,-6.021,17.678425,2.02799,1.2575,4
226.77281714972,-56.04592114536,-6.953,-5.54,20.4451,1.811531,1.1437,4
226.78068131455,-56.02608662833,-7.411,-3.795,20.28337,2.011818,1.2146,0
226.88227113625,-56.00691408317,-5.563,-5.401,19.70256,2.120478,1.2175,3
226.83140676022,-55.99076095519,-6.597,-4.065,18.61891,2.301346,1.1142,0
226.84822486557,-55.98455693435,-5.704,-3.59,20.407173,2.065147,1.1565,3
226.99925687691,-55.99865759574,-7.638,-5.244,20.197996,1.919321,1.2022,4
226.97232224961,-55.9900094665,-8.069,-6.742,20.294247,2.425144,1.2793,4
226.95851981481,-55.96784509545,-6.263,-4.081,20.461086,2.539421,1.3227,3
226.8844128549,-55.97629448699,-5.695,-3.991,19.819532,2.806103,1.1987,3
226.94976032367,-55.92445784537,-5.91,-4.099,19.83518,2.102041,1.2183,3
226.95579231411,-55.91854306317,-8.914,-5.621,13.823125,0.844557,1.0897,1
226.96483954979,-55.90007751396,-7.28,-5.884,16.938236,1.629484,1.1518,4
225.4457381403,-56.334571297,-7.629,-4.397,20.175398,2.192507,1.1549,0
225.52035182225,-56.32459621317,-5.675,-4.108,20.519884,1.746231,1.2938,3
225.51039651474,-56.32105958306,-6.568,-6.433,20.345642,2.00642,1.2755,4
225.53677966895,-56.29899557619,-7.897,-5.16,18.907211,2.102419,1.129,4
225.48457675325,-56.27235455615,-6.297,-6.313,20.592628,1.75745,1.3411,4
225.23910879461,-56.31021702486,-5.915,-7.456,20.131935,2.426334,1.2216,4
225.26943303084,-56.30943775102,-6.599,-4.281,20.565544,2.118652,1.195,0
225.27512329998,-56.30518011036,-7.158,-7.388,20.73679,2.288149,1.1296,4
225.23843818426,-56.29748075328,-6.873,-4.396,20.300417,2.182615,1.3317,0
225.19669546709,-56.30508101975,-7.116,-3.929,20.336903,2.674377,1.1843,4
225.38435964488,-56.31588995113,-5.711,-4.581,19.777046,2.444569,1.3112,3
225.39837382811,-56.32364076718,-7.795,-5.878,20.22149,2.533697,1.1974,4
225.38652571577,-56.27461191302,-5.867,-4.552,19.902962,2.629435,1.1713,3
225.42936084083,-56.29720240191,-8.587,-4.595,20.193953,2.264837,1.3279,4
225.47338632855,-56.26128069436,-5.809,-5.648,20.277779,2.315777,1.2791,4
225.3138004847,-56.2650096153,-6.699,-3.993,20.214396,2.270548,1.3536,0
225.28508347771,-56.27171550342,-6.623,-6.821,20.779804,1.616812,1.0925,4
225.2803919317,-56.25117828967,-7.287,-4.001,20.251266,1.39179,1.2854,0
225.33381432783,-56.23502371958,-7.679,-3.991,20.283745,3.06082,1.2011,4
225.31251948517,-56.22962341404,-6.394,-5.947,20.34191,2.172409,1.2317,4
225.39151309772,-56.1986834003,-6.114,-6.417,20.372639,1.911289,1.2318,4
