RAJ2000,DEJ2000,pmRA,pmDE,Gmag,BP-RP,Plx,cluster
123.67694988217,-14.56449459592,-0.766,0.761,18.835867,1.213594,0.8131,3
123.73801474314,-14.53340658465,-0.93,0.788,19.656456,0.874481,0.605,3
123.76165380428,-14.51940423728,-2.041,0.587,20.226347,1.613913,0.7773,3
123.7515307604,-14.47982832822,-0.419,0.631,19.236961,0.773949,0.7133,3
123.80680689311,-14.46467892872,-1.006,-0.769,20.05625,0.847733,0.7705,3
123.84135125527,-14.43272205658,-3.162,-0.233,14.610286,0.720273,0.6382,3
123.87861160679,-14.43323719645,-1.479,-0.397,16.193447,1.01761,0.6705,3
123.91524086398,-14.39286766234,-0.551,0.178,19.113405,1.2078,0.6072,3
123.90876785015,-14.39018347004,-0.888,0.753,20.359674,1.397242,0.8227,3
123.87117520558,-14.37594536627,-0.549,0.001,19.494967,0.84293,0.8186,3
122.67612586934,-14.81282151119,-2.841,-0.169,16.566797,0.884375,0.5958,3
122.68561223568,-14.79730133667,-0.66,-0.314,18.792027,1.115528,0.6345,3
122.6935576208,-14.79306606962,-2.45,0.731,19.10494,1.055847,0.5845,3
122.50597651383,-14.81434231627,-2.324,0.784,20.52523,1.392885,0.6619,3
122.56959447774,-14.82924172088,-1.926,-0.168,17.775236,1.757011,0.7707,3
122.65136310567,-14.79182335221,-0.841,0.081,20.14202,1.695839,0.849,3
122.66575637445,-14.78331438786,-2.962,0.208,18.318495,1.715315,0.633,3
122.64324483665,-14.78899649582,-2.898,1.3,14.064115,0.515817,0.618,3
122.63585794842,-14.77413017225,-0.961,0.778,19.15585,1.098543,0.6073,3
122.56274915187,-14.80306248485,-1.702,-0.513,17.13305,0.866497,0.6458,3
122.53660094779,-14.77590837352,-0.946,0.326,20.213806,0.647078,0.8107,3
122.59869696115,-14.75584075141,-2.88,0.993,16.388718,0.885945,0.6454,3
122.6359788127,-14.75093980507,-4.004,-0.106,15.492035,0.898757,0.7517,3
122.62978747548,-14.74290999267,-4.012,-0.056,17.600521,1.52269,0.7366,3
122.4807642861,-14.78185301157,-2.12,0.324,18.839634,1.683762,0.8684,3
122.48142606449,-14.75438473374,-1.979,0.812,19.863829,1.202015,0.7419,3
122.35199329213,-14.78399686754,-3.909,0.992,19.177025,0.95332,0.6336,3
122.39812812256,-14.7634081488,-1.733,0.468,20.281208,1.040169,0.6283,3
122.40806233899,-14.76547848194,-2.34,-0.529,18.427456,0.845821,0.8431,3
122.37762408967,-14.75858552865,-1.872,0.262,19.828674,1.035086,0.7868,3
122.42734114536,-14.77197357558,-3.329,0.925,20.346666,1.403059,0.8593,3
122.41389811304,-14.76829031797,-2.472,0.789,18.688612,1.863821,0.5911,3
122.42759451621,-14.76178565894,-2.572,-0.676,15.15905,0.740913,0.6188,3
122.42301219515,-14.72652291595,-0.945,0.477,19.739717,1.144699,0.6971,3
122.55168967861,-14.74864990477,-0.581,0.557,20.234377,1.313015,0.7,3
122.49861778363,-14.74150576382,-2.379,-0.096,20.11938,1.320764,0.6946,3
122.57906844724,-14.70090123028,-1.6,0.376,19.155584,1.022493,0.5833,3
122.54656332483,-14.71901235627,-1.637,1.335,20.633512,0.933012,0.6511,3
122.46649647064,-14.72934274478,-2.111,0.969,19.830444,1.423164,0.7708,3
122.477635706,-14.71155186548,-0.538,0.825,20.534166,1.465202,0.7631,3
122.50551830823,-14.70219836535,-0.9,1.315,20.541636,1.375496,0.7356,3
122.53231879193,-14.6965371421,-1.603,0.371,20.373217,1.001327,0.6334,3
122.53305929259,-14.69136123261,-0.601,0.143,20.03596,0.934074,0.7265,3
122.51542661493,-14.6892634088,-2.21,1.394,17.089502,1.110022,0.6136,3
122.54863404987,-14.67701377868,-0.526,1.246,12.792952,0.527805,0.7973,3
122.50814691746,-14.64249001214,-3.002,0.222,20.378323,1.140562,0.723,3
122.20553985177,-14.75923675475,-3.989,-0.031,14.585009,0.628915,0.6159,3
122.2744079268,-14.75180039873,-2.268,0.75,20.17756,1.888815,0.7874,3
122.21812548333,-14.75054148468,-3.154,1.328,17.584616,1.328625,0.6833,3
122.07961847763,-14.71015161451,-0.45,-0.232,15.460463,0.857334,0.574,3
122.20097675037,-14.74779173629,-3.95,-0.079,16.611164,0.987892,0.6837,3
122.13922293689,-14.73585071298,-1.545,-0.384,20.697094,1.047642,0.8313,3
122.21061391637,-14.74059022103,-1.125,0.223,20.68104,1.251402,0.74,3
122.18530375141,-14.71056605955,-1.999,1.372,19.00258,1.020681,0.7856,3
122.20319045541,-14.69216522756,-2.425,1.149,20.618332,0.235266,0.8463,3
122.13770381685,-14.73356436311,-4.014,0.975,12.150486,0.520232,0.7394,3
122.12977864755,-14.7080923235,-1.89,1.36,19.40222,1.128368,0.6126,3
122.1180777026,-14.70444163829,-1.264,0.346,20.40072,0.683022,0.6941,3
122.18153536045,-14.67028055612,-0.827,0.862,20.316433,1.033071,0.6527,3
122.16235701803,-14.653104473,-1.289,0.958,18.628275,1.173363,0.7962,3
122.33635038005,-14.77667353532,-3.105,1.102,17.24611,1.261971,0.6187,3
122.37238536017,-14.75866735064,-1.016,0.992,20.423698,0.88912,0.7032,3
122.35762169325,-14.74701149235,-2.32,1.182,15.793066,0.856801,0.6567,3
122.34126677803,-14.72517930267,-1.925,0.168,18.993904,1.947779,0.6875,3
122.38824008325,-14.72646062274,-1.887,0.619,20.05591,0.936634,0.6397,3
122.38339694602,-14.7064852655,-4.295,-0.135,14.912456,0.861229,0.7319,3
122.40577918393,-14.68789179823,-1.683,1.212,17.785778,1.412029,0.6301,3
122.39638281564,-14.69275524787,-1.146,0.899,19.9072,0.960319,0.6749,3
122.28975452225,-14.72189602906,-1.574,0.468,17.639437,1.571707,0.6576,3
122.26207193617,-14.7125324355,-1.017,0.128,17.391142,1.613668,0.8311,3
122.33326578778,-14.69913986185,-2.444,1.322,18.871641,1.946085,0.5801,3
